holdout,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,uar_mean,uar_std,uar_ci95,ece_mean,ece_std,ece_ci95,unknown_auroc_mean,unknown_auroc_std,unknown_auroc_ci95,unknown_aupr_mean,unknown_aupr_std,unknown_aupr_ci95,coverage_mean,coverage_std,coverage_ci95,auto_coverage_mean,auto_coverage_std,auto_coverage_ci95,selective_risk_mean,selective_risk_std,selective_risk_ci95
crema_d,3,0.42063065484188833,0.010220556130554894,0.011565648033157353,0.40806279045317706,0.010768706801306599,0.012185938910294698,0.41815439892239087,0.011025373455263611,0.012476384571332698,0.3590296408061238,0.0323270219098433,0.03658146901142404,,,,,,,0.5284421750425513,0.05695877056197525,0.06445491657266643,0.5937919914001613,0.09976955343776382,0.11289987792707452,0.5514161037655941,0.03397119841633574,0.03844202987871663
ravdess,3,0.5868055555555555,0.051016390313849504,0.057730480294336695,0.5828742720029707,0.049742566892527894,0.05628901339574454,0.6064814814814814,0.04761135032379724,0.053877314814814795,0.19430078924962815,0.08234497865377592,0.09318211536065617,0.5501145899095118,0.019808674865921416,0.022415625781613827,0.2875200342021354,0.013242968301047436,0.014985829374419661,0.7695707070707071,0.07339066063687857,0.08304935064242439,0.5628156565656566,0.12811185280109633,0.14497220889414555,0.26108581480669635,0.09169973953527344,0.10376802383840504
savee,3,0.5896825396825397,0.022122793436137055,0.025034297461337222,0.5469673573625323,0.02970672076120492,0.0336163191273165,0.5606481481481481,0.023665514665059395,0.026780050874270833,0.1322134830648937,0.04588690051172863,0.05192591615093924,0.49765873015873013,0.0275042084321924,0.03112394179866076,0.12935644365985788,0.011504449071615037,0.013018509666015551,0.7746031746031746,0.06372477195601849,0.07211136791599539,0.5317460317460317,0.16141967480283892,0.18266355769184497,0.25318976520928566,0.06905304308091333,0.07814087430181114
tess,3,0.46902777777777777,0.04942786082692558,0.055932889957629975,0.4073919441456079,0.033375658325695536,0.037768112824693736,0.46902777777777777,0.04942786082692558,0.055932889957629975,0.30834912993427777,0.0706150337557489,0.07990843314552364,0.5545638888888889,0.0726017172615085,0.08215657716893963,0.1633357615744017,0.026893183637611808,0.03043250215258079,0.6255555555555556,0.05584628788353236,0.06319602391188554,0.45708333333333334,0.04517904197006988,0.05112489880457253,0.4126867356279121,0.09933797533834555,0.11241150133259858
