n_total,n_known,n_unknown,accuracy,macro_f1,uar,balanced_accuracy,nll,brier,ece,coverage,avg_prediction_set_size,singleton_rate,auto_coverage,selective_risk,selective_macro_f1,unknown_auroc,unknown_aupr,unknown_fpr95,holdout,ablation,seed,best_val_domain_macro_f1,temperature,trainable_parameters,n_source_corpora,feature_layers,implementation_version,config_digest,run_dir,predictions_path
480,420,60,0.5642857142857143,0.5150921268860934,0.5361111111111111,0.5361111111111111,1.2029928760545445,0.5738740498915111,0.09690081583602088,0.8428571428571429,2.3976190476190475,0.41904761904761906,0.41904761904761906,0.20454545454545459,0.6576111764015588,0.4725,0.11610082231954733,0.919047619047619,savee,full_DIMAP-C,52,0.8651097005167321,1.2622266400196567,1891712,3,"[4, 8, 12]",DIMAP-C-v2.0,047d6772f00f96e0d61c595ad6ccf2f904e7563ed85095b97b45ca18c00cddb9,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_savee__seed_52,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_savee__seed_52\predictions.csv
480,420,60,0.6047619047619047,0.5519292484816045,0.5625,0.5625,1.2227038693447614,0.5860438195265735,0.18408047712984538,0.7166666666666667,1.3166666666666667,0.7166666666666667,0.7166666666666667,0.3322259136212624,0.5713487788187489,0.5270238095238096,0.13523011534871615,0.8452380952380952,savee,full_DIMAP-C,62,0.8699398863564691,1.0648324543041692,1891712,3,"[4, 8, 12]",DIMAP-C-v2.0,5c8b8a9e30c57b75f3c9955f6abb94a5328f1c1cea14dbc96e00814466d41d3e,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_savee__seed_62,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_savee__seed_62\predictions.csv
7442,7442,0,0.3946519752754636,0.3800725345939324,0.3911007734880744,0.3911007734880744,2.406407800574783,1.0319359960820347,0.4706901780694315,0.39062080085998385,1.095270088685837,0.8374092985756517,0.8228970706799248,0.5973220117570215,0.38409907537863003,,,,crema_d,source_only_adapter,1042,0.9200329708105232,1.0648324543041692,1874921,3,"[4, 8, 12]",DIMAP-C-v2.0,bce58088e4f207b953f8a236b8e6d64c5f541ad7cb63b206c94f089c54f0fa5d,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\source_only_adapter__holdout_crema_d__seed_1042,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\source_only_adapter__holdout_crema_d__seed_1042\predictions.csv
7442,7442,0,0.4098360655737705,0.3922248613738048,0.4061626677340459,0.4061626677340459,2.439754866755407,1.017845369052413,0.46704471873775727,0.38685837140553614,0.9291857027680731,0.8633431873152378,0.8403654931470035,0.5826670930604414,0.38733218262055485,,,,crema_d,DANN_adapter,1043,0.9284523812950857,0.9507008978841649,1874921,3,"[4, 8, 12]",DIMAP-C-v2.0,a2367a0bf868f8feca7a5143ea3d182857143b20c4da8ce6014db6808a35dc19,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\DANN_adapter__holdout_crema_d__seed_1043,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\DANN_adapter__holdout_crema_d__seed_1043\predictions.csv
7442,7442,0,0.3763773179252889,0.36128968926259813,0.37315606248029126,0.37315606248029126,2.2976184669392317,1.006805059821338,0.43089263302140646,0.3454716474066111,1.0917764041924214,0.7582639075517335,0.7304488040849234,0.5993377483443709,0.37101611907978427,,,,crema_d,no_prototypes,1044,0.9171497664230722,1.0350752768921208,1874921,3,"[4, 8, 12]",DIMAP-C-v2.0,56f608444610ed80ff82e86884ce7a4d2b54146b6295d2ff8f27ad3fc7d89f42,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\no_prototypes__holdout_crema_d__seed_1044,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\no_prototypes__holdout_crema_d__seed_1044\predictions.csv
7442,7442,0,0.3863208814834722,0.34849093689728944,0.37877548627401875,0.37877548627401875,1.9340665857051624,0.8940924810353629,0.34993318756864583,0.5266057511421661,1.5640956732061273,0.5395055092717012,0.5325181402848697,0.556144335099672,0.36392802623470427,,,,crema_d,global_prototype,1045,0.8768632050153792,0.9507008978841649,1874921,3,"[4, 8, 12]",DIMAP-C-v2.0,eaf1da0cf81d33e0a25d241dd32219dc0461289e5cebe53accba0450e0516896,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\global_prototype__holdout_crema_d__seed_1045,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\global_prototype__holdout_crema_d__seed_1045\predictions.csv
7442,7442,0,0.42407954850846546,0.4152750308868604,0.42030664957508707,0.42030664957508707,2.2695683998886707,0.9460109074956948,0.3933479048670123,0.3180596613813491,0.6719967750604676,0.6701155603332437,0.625503896801935,0.5063372717508056,0.4500504054503114,,,,crema_d,no_domain_adversarial,1046,0.9559195954334863,0.9241331733846149,1874921,3,"[4, 8, 12]",DIMAP-C-v2.0,69aac08eea8a2caac139919c93c89e3c88fcb2574f88dfc2a4ae56375dd48606,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\no_domain_adversarial__holdout_crema_d__seed_1046,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\no_domain_adversarial__holdout_crema_d__seed_1046\predictions.csv
7442,7442,0,0.3943832303144316,0.3710175410655027,0.38877420512935584,0.38877420512935584,2.196312059833132,0.9901563384869687,0.43871157735113625,0.46264445041655466,1.110857296425692,0.7871539908626713,0.7789572695511959,0.5911678454372952,0.3840675626430859,,,,crema_d,no_speaker_adversarial,1047,0.8963332976857217,1.2269532015463493,1874921,3,"[4, 8, 12]",DIMAP-C-v2.0,ea52130b708aacb75bc27d6a647f3fb29e91d44c8c642bbc892fb25c6559d839,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\no_speaker_adversarial__holdout_crema_d__seed_1047,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\no_speaker_adversarial__holdout_crema_d__seed_1047\predictions.csv
7442,7442,0,0.37194302606826124,0.3465866995623254,0.3661873351973867,0.3661873351973867,2.1562503029679827,0.9928868697283265,0.43591602204291924,0.4060736361193228,1.1624563289438323,0.8292125772641763,0.8255845202902445,0.64208984375,0.3063230664514384,,,,crema_d,no_cross_corpus_mixup,1048,0.867012590975695,1.2622266400196567,1874921,3,"[4, 8, 12]",DIMAP-C-v2.0,8abc37555b6e4ac689a90b27222b6f4af0c646808a854885d5781f26a1619403,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\no_cross_corpus_mixup__holdout_crema_d__seed_1048,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\no_cross_corpus_mixup__holdout_crema_d__seed_1048\predictions.csv
7442,7442,0,0.4011018543402311,0.3641667727215254,0.3948867851737543,0.3948867851737543,2.225454642548414,0.9532739466031797,0.41300175840160724,0.4011018543402311,1.0,1.0,1.0,0.5988981456597688,0.3641667727215254,,,,crema_d,no_conformal_deferral,1049,0.9043873182906602,1.0648324543041692,1874921,3,"[4, 8, 12]",DIMAP-C-v2.0,6ab13db8917eb8e921f04a1abe3362ffe9dd5ed508b8fcef5da84c40df33ef6f,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\no_conformal_deferral__holdout_crema_d__seed_1049,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\no_conformal_deferral__holdout_crema_d__seed_1049\predictions.csv
